Starting price:$10.00
Day1, the price is: $10.57
Day2, the price is: $10.34
Day3, the price is: $11.01
Day4, the price is: $11.64
Day5, the price is: $11.63
Day6, the price is: $11.58
Day7, the price is: $12.69
Day8, the price is: $13.62
Day9, the price is: $13.40
Day10, the price is: $13.45
Day11, the price is: $12.78
Day12, the price is: $12.98
Day13, the price is: $13.95
Day14, the price is: $15.08
Day15, the price is: $15.20
Day16, the price is: $15.09
Day17, the price is: $15.86
Day18, the price is: $16.37
Day19, the price is: $17.86
Day20, the price is: $17.49
Day21, the price is: $18.40
Day22, the price is: $18.11
Day23, the price is: $17.71
Day24, the price is: $17.61
Day25, the price is: $17.30
Day26, the price is: $16.91
Day27, the price is: $16.64
Day28, the price is: $16.23
Day29, the price is: $17.75
Day30, the price is: $17.26
Day31, the price is: $16.73
Day32, the price is: $16.88
Day33, the price is: $17.66
Day34, the price is: $17.30
Day35, the price is: $18.86
Day36, the price is: $18.56
Day37, the price is: $17.82
Day38, the price is: $17.06
Day39, the price is: $16.39
Day40, the price is: $17.14
Day41, the price is: $16.44
Day42, the price is: $15.68
Day43, the price is: $16.04
Day44, the price is: $16.79
Day45, the price is: $16.18
Day46, the price is: $16.46
Day47, the price is: $16.03
Day48, the price is: $15.36
Day49, the price is: $16.77
Day50, the price is: $15.99
Day51, the price is: $15.94
Day52, the price is: $15.61
Day53, the price is: $16.81
Day54, the price is: $16.63
Day55, the price is: $16.62
Day56, the price is: $16.19
Day57, the price is: $16.15
Day58, the price is: $15.84
Day59, the price is: $17.26
Day60, the price is: $18.00
Day61, the price is: $18.24
Day62, the price is: $19.55
Day63, the price is: $19.21
Day64, the price is: $20.77
Day65, the price is: $20.34
Day66, the price is: $19.61
Day67, the price is: $18.81
Day68, the price is: $20.60
Day69, the price is: $19.59
Day70, the price is: $19.15
Day71, the price is: $18.39
Day72, the price is: $19.48
Day73, the price is: $21.12
Day74, the price is: $21.63
Day75, the price is: $20.83
Day76, the price is: $20.50
Day77, the price is: $21.23
Day78, the price is: $20.72
Day79, the price is: $20.25
Day80, the price is: $19.32
Day81, the price is: $19.43
Day82, the price is: $20.13
Day83, the price is: $21.66
Day84, the price is: $23.64
Day85, the price is: $24.15
Day86, the price is: $23.66
Day87, the price is: $22.62
Day88, the price is: $24.59
Day89, the price is: $24.96
Day90, the price is: $25.96
Day91, the price is: $26.44
Day92, the price is: $28.28
Day93, the price is: $28.13
Day94, the price is: $29.86
Day95, the price is: $28.93
Day96, the price is: $28.06
Day97, the price is: $30.67
Day98, the price is: $32.47
Day99, the price is: $33.90
Day100, the price is: $33.87
Day101, the price is: $33.16
Day102, the price is: $35.02
Day103, the price is: $36.05
Day104, the price is: $34.59
Day105, the price is: $34.41
Day106, the price is: $34.24
Day107, the price is: $34.20
Day108, the price is: $34.22
Day109, the price is: $34.71
Day110, the price is: $34.59
Day111, the price is: $35.76
Day112, the price is: $38.60
Day113, the price is: $37.78
Day114, the price is: $39.06
